Drone,mission,Priority,Start_s,Finish_s,Duration_s,Mission,Start_hms,Finish_hms,Duration_hms
Drone 1,0,0,0.0,1415.4614535800524,1415.4614535800524,M00,00:00:00,00:23:35,00:23:35
Drone 1,3,0,2315.4614535800524,3653.9138755472027,1338.4524219671503,M03,00:38:35,01:00:54,00:22:18
Drone 1,10,0,4553.913875547203,5727.97828381055,1174.064408263347,M10,01:15:54,01:35:28,00:19:34
Drone 1,4,0,6627.97828381055,7746.1285731987045,1118.1502893881545,M04,01:50:28,02:09:06,00:18:38
Drone 2,5,0,0.0,1383.7999604734962,1383.7999604734962,M05,00:00:00,00:23:04,00:23:04
Drone 2,6,0,2283.799960473496,3630.7090572004495,1346.9090967269535,M06,00:38:04,01:00:31,00:22:27
Drone 2,7,0,4530.709057200449,5848.780863514342,1318.0718063138927,M07,01:15:31,01:37:29,00:21:58
Drone 3,2,0,0.0,1381.1094873822074,1381.1094873822074,M02,00:00:00,00:23:01,00:23:01
Drone 3,9,0,2281.1094873822076,3647.975117071808,1366.8656296896008,M09,00:38:01,01:00:48,00:22:47
Drone 3,8,0,4547.975117071808,5809.0460406063885,1261.0709235345803,M08,01:15:48,01:36:49,00:21:01
Drone 3,1,0,6709.0460406063885,7700.240829813858,991.1947892074699,M01,01:51:49,02:08:20,00:16:31
