mission,num_waypoints,distance_ft,distance_mi,csv,Drone
0,116,35386.53633950131,6.701995518844946,mission_00.csv,Drone 1
1,98,24779.869730186747,4.693157145868702,mission_01.csv,Drone 3
2,317,34527.73718455518,6.539344163741512,mission_02.csv,Drone 3
3,68,33461.31054917876,6.337369422192946,mission_03.csv,Drone 1
4,235,27953.757234703862,5.294272203542398,mission_04.csv,Drone 1
5,320,34594.999011837404,6.552083146181326,mission_05.csv,Drone 2
6,303,33672.72741817384,6.377410495866258,mission_06.csv,Drone 2
7,358,32951.795157847315,6.2408702950468395,mission_07.csv,Drone 2
8,305,31526.77308836451,5.970979751584188,mission_08.csv,Drone 3
9,328,34171.64074224002,6.471901655727277,mission_09.csv,Drone 3
10,330,29351.61020658368,5.559017084580242,mission_10.csv,Drone 1
